id,class,protein_or_peptide_name,organism,accession,database,pdb_id,sequence_type,known_region,cellular_location,biological_function,known_binding_partner,known_binding_surface,reason_akap_like,reason_not_akap,biological_context_evidence,structural_context_evidence,expected_failure_mode,intended_use,priority,verification_status,notes
CC01,coiled_coil,GCN4 leucine zipper,Saccharomyces cerevisiae,P03069,UniProt,2ZTA,full_protein,249-281,nucleus,bZIP transcription factor homodimerization,GCN4 leucine zipper (homodimer),helix-helix coiled-coil interface (heptad a/d),"continuous hydrophobic seam, amphipathic, can score on hydrophobic stripe","hydrophobic face packs against a partner helix (knobs-into-holes), not the PKA D/D groove; 3.5 res/turn heptad",canonical bZIP dimerization domain (O'Shea 1991),PDB 2ZTA parallel dimeric coiled coil,hydrophobic stripe may give PSSM>=12; ML may follow PSSM,training_candidate+stress_test,high,verify_region,prototypical coiled coil; clean label
CC02,coiled_coil,Tropomyosin alpha-1 chain,Homo sapiens,P09493,UniProt,1C1G,full_protein,full coiled-coil (use sliding window),cytoskeleton,actin filament stabilization; coiled-coil dimer,tropomyosin partner chain / actin,helix-helix coiled-coil interface,long amphipathic coiled coil with strong hydrophobic seam,obligate dimerization seam; not a PKA anchor,muscle thin-filament regulator,PDB 1C1G,multiple windows may breach danger zone along the rod,training_candidate+stress_test,high,verify_accession_isoform,very long; many windows
CC03,coiled_coil,Vimentin (coil 2B rod),Homo sapiens,P08670,UniProt,3UF1,full_protein,coil 2B (~262-334),cytoskeleton,intermediate filament assembly,vimentin (dimer/tetramer),helix-helix coiled-coil interface,amphipathic coiled-coil rod,"IF assembly interface, not PKA D/D",canonical type-III IF,PDB 3UF1 coil2 fragment,danger-zone entry along rod,stress_test,medium,verify_region,
CC04,coiled_coil,SNAP-25 SNARE motif,Homo sapiens,P60880,UniProt,1SFC,full_protein,SN1/SN2 SNARE helices,membrane/vesicle,SNARE complex membrane fusion,syntaxin-1 / VAMP2 (SNARE 4-helix bundle),four-helix bundle interface,amphipathic helices with hydrophobic interface,assembles into SNARE bundle; not PKA anchor,neuronal exocytosis SNARE,PDB 1SFC,bundle-facing hydrophobic face may score,stress_test,medium,verify_region,
MB01,membrane_amphipathic,ArfGAP1 ALPS1 motif,Homo sapiens,Q8N6T3,UniProt,,full_protein,ALPS1 ~192-257 (lipid packing sensor),Golgi membrane / cytosol,curvature-sensing membrane binding (ArfGAP activity),curved lipid membrane,membrane-facing hydrophobic face,"strong amphipathic helix, high hydrophobic moment",inserts bulky face into lipid packing defects; charge-poor polar face; not PKA groove,ALPS curvature sensor (Bigay/Antonny),folds on membrane; disordered in solution,HIGH likelihood of danger-zone entry; key test class,training_candidate+stress_test,high,verify_accession_region,charge-poor polar face is the discriminator
MB02,membrane_amphipathic,Alpha-synuclein N-terminal repeats,Homo sapiens,P37840,UniProt,1XQ8,full_protein,1-95 (KTKEGV imperfect 11-mers),cytosol / presynaptic membrane,synaptic vesicle membrane binding,acidic phospholipid membrane,membrane-facing amphipathic face,long amphipathic helix on membrane,lipid-binding; 11-mer periodicity; lysine-rich interface; not PKA D/D,micelle-bound helix (Ulmer 2005),PDB 1XQ8 (micelle-bound),danger-zone entry likely across repeats,training_candidate+stress_test,high,verify_region,
MB03,membrane_amphipathic,Epsin-1 ENTH N-terminal helix-0,Homo sapiens,Q9Y6I3,UniProt,1H0A,full_protein,helix-0 (~1-15),plasma membrane / cytosol,"PtdIns(4,5)P2-induced membrane curvature",PIP2 membrane,membrane-inserted hydrophobic face,amphipathic helix that folds on membrane,short curvature-driving helix; lipid target; not PKA,ENTH H0 insertion (Ford 2002),PDB 1H0A,short; may not reach 5-turn support,stress_test,medium,verify_accession_region,tests 5-turn/length discriminator
MB04,membrane_amphipathic,Cathelicidin LL-37,Homo sapiens,P49913,UniProt,2K6O,peptide_region,mature 134-170,secreted,antimicrobial membrane disruption,microbial membrane,membrane-facing hydrophobic face,"cationic amphipathic helix, high moment",membrane-lytic; strongly cationic polar face; not PKA groove,human cathelicidin AMP,PDB 2K6O,cationic face; PSSM may reject,stress_test,medium,verify_region,peptide-derived region; cationic polar face discriminator
MB05,membrane_amphipathic,Melittin,Apis mellifera,P01501,UniProt,2MLT,peptide_only,1-26 (mature),secreted (venom),membrane-lytic peptide,lipid membrane,membrane-facing hydrophobic face,"classic amphipathic helix, very high moment",pore-forming lytic peptide; not a protein-groove anchor,bee venom peptide,PDB 2MLT,peptide-only; lacks protein context,stress_test_only,low,verify_sequence,PEPTIDE-ONLY: no full-protein background; analyze separately
MT01,mito_targeting,ALDH2 presequence,Homo sapiens,P05091,UniProt,,full_protein,N-terminal presequence ~1-17,mitochondria (matrix),mitochondrial import targeting (cleaved),TOM20 import receptor,TOM20 hydrophobic groove (phi-chi-chi-phi-phi),amphipathic with hydrophobic + charged face,"Arg-rich, acidic-depleted targeting peptide; cleaved; recognized by TOM/TIM not PKA",classic cleavable MTS,TOM20-presequence complexes (Saitoh 2007),likely PSSM<12 (different anchors) -> PSSM filters,stress_test,medium,verify_region,"if PSSM<12, report PSSM already filters this class"
MT02,mito_targeting,Ornithine carbamoyltransferase presequence,Homo sapiens,P00480,UniProt,,full_protein,N-terminal presequence ~1-32,mitochondria (matrix),import targeting (cleaved),TOM20,TOM20 groove,amphipathic targeting helix,"positive-inside, acidic-poor; TOM/TIM substrate",canonical OTC presequence,,likely PSSM<12,stress_test,low,verify_region,
MT03,mito_targeting,Cytochrome c oxidase subunit 4 isoform 1 presequence,Homo sapiens,P13073,UniProt,,full_protein,N-terminal presequence ~1-22,mitochondria,import targeting (cleaved),TOM20,TOM20 groove,amphipathic presequence helix,Arg-rich acidic-poor targeting peptide,model MTS (COX4),,likely PSSM<12,stress_test,low,verify_region,
LP01,apolipoprotein,Apolipoprotein A-I,Homo sapiens,P02647,UniProt,1AV1,full_protein,class-A 11/22-mer repeats (mature),secreted (HDL),lipid binding / HDL scaffold,phospholipid / lipoprotein surface,lipid-facing hydrophobic face,"textbook class-A amphipathic helix, sharp face separation, high moment",lipid binder; interfacial-basic + center-acidic snorkel; tandem repeats; not PKA,major HDL apolipoprotein,PDB 1AV1 (lipid-free belt),HIGH danger-zone entry; central acidic cluster may trigger negdet->unlikely,training_candidate+stress_test,high,verify_region,also tests whether negdet rule earns its keep
LP02,apolipoprotein,Apolipoprotein E (C-terminal lipid-binding),Homo sapiens,P02649,UniProt,1B68,full_protein,C-terminal lipid-binding helices ~244-272,secreted,lipoprotein lipid binding,lipoprotein lipid surface,lipid-facing face,amphipathic lipid-binding helices,lipid target; not PKA D/D,ApoE lipid binding,PDB 1B68 region,danger-zone entry plausible,stress_test,medium,verify_region,
LP03,apolipoprotein,Perilipin-1 (class-A repeats),Homo sapiens,O60240,UniProt,,full_protein,11-mer amphipathic repeat region,lipid droplet,lipid droplet coat,lipid droplet monolayer,lipid-facing face,class-A amphipathic 11-mer repeats,lipid-droplet binder; not PKA (note: PLIN1 is regulated by PKA but anchoring helix is lipid-facing),PAT-family LD protein,,danger-zone entry plausible,stress_test,medium,verify_region,"PLIN1 is a PKA SUBSTRATE - ensure region chosen is the lipid-binding helix, not a PKA site"
PG01,ppi_helix_in_groove,BAD BH3 helix,Homo sapiens,Q92934,UniProt,1G5J,full_protein,BH3 ~103-127,cytosol/mitochondria,apoptosis regulation (pro-apoptotic BH3-only),Bcl-XL / Bcl-2 hydrophobic groove,protein-groove interface,short amphipathic helix docking into a hydrophobic protein groove (mechanistically closest),BH3 anchor spacing (Lxxxx(D/phi)) and Bcl-2 partner differ from AKAP D/D,BH3-in-groove binding,PDB 1G5J,anchor spacing differs; possible PSSM<12,stress_test,high,verify_region,most diagnostic if it reaches danger zone
PG02,ppi_helix_in_groove,BIM BH3 helix,Homo sapiens,O43521,UniProt,1PQ1,full_protein,BH3 ~141-166,cytosol/mitochondria,apoptosis (BH3-only),Bcl-2 family groove,protein-groove interface,helix-in-groove amphipathic,Bcl-2 partner; BH3 motif spacing,BH3 binding,PDB 1PQ1,anchor spacing differs,stress_test,medium,verify_region,
PG03,ppi_helix_in_groove,p53 transactivation helix,Homo sapiens,P04637,UniProt,1YCR,full_protein,TAD helix ~17-29,nucleus,transcription; MDM2 regulation,MDM2 hydrophobic cleft,protein-groove interface,short helix in hydrophobic groove (F19/W23/L26 anchors),MDM2 partner; 3-residue anchor spacing; very short (~3 turns),p53-MDM2 (Kussie 1996),PDB 1YCR,too short for 5-turn AKAP support; likely filtered,stress_test,high,verify_region,tests 5-turn support discriminator
PG04,ppi_helix_in_groove,NCOA1/SRC-1 LxxLL NR box,Homo sapiens,Q15788,UniProt,1GWQ,full_protein,NR box LxxLL motif,nucleus,nuclear receptor coactivation,nuclear receptor LBD AF-2 groove,protein-groove interface,short amphipathic helix in a hydrophobic groove,LxxLL motif; NR-LBD partner; short,NR box binding,PDB 1GWQ,short motif; likely filtered,stress_test,medium,verify_region,
DD01,ddip_like,DPY30,Homo sapiens,Q9C005,UniProt,3G36,full_protein,dimerization/binding region,nucleus,MLL/COMPASS assembly; binds D/D-like fold,ASH2L (Sdc-binding) / D/D-like domain,D/D-like domain interface (NOT PKA R-subunit),engages a dimerization/docking (D/D-like) fold via helix,"partner is DPY30/ASH2L system, not PKA RI/RII; architecture differs",COMPASS subunit,PDB 3G36 region,D/D-like but non-PKA; tests DDIP discrimination,stress_test,high,verify_region_and_AKAP_status,FLAGGED: confirm it is experimentally NOT a PKA anchor before training use
DD02,ddip_like,ASH2L (DPY30-binding helix),Homo sapiens,Q9UBL3,UniProt,,full_protein,DPY30-binding region,nucleus,COMPASS H3K4 methyltransferase complex,DPY30 D/D-like domain,D/D-like interface,helix binding a D/D-like fold,non-PKA D/D-like partner,ASH2L-DPY30 interaction,,DDIP-like discrimination test,stress_test,medium,verify_region_and_AKAP_status,FLAGGED ambiguous: confirm non-PKA-anchoring before any training use
PDE01,PDE_GAF_domain_dimerization_helix,"PDE2A (GAF-B regulatory helix, 404-427)",Homo sapiens,O00408,UniProt,3IBJ,full_protein,404-427 (core VSVLLQEIITEA); GAF-B domain ~393-541,cytosol / mitochondria-associated (isoform-dependent),cyclic-nucleotide phosphodiesterase regulatory (GAF) domain; cGMP-activated,cGMP (GAF-B allosteric site) / PDE2A homodimer interface / intramolecular domain packing,regulatory-domain helix; domain-packing / dimerization-associated face (NOT PKA D/D groove),"amphipathic helix, high RII PSSM (15.14), ML v2 high score (0.992)","PDE2A is a phosphodiesterase; window lies in the GAF-B regulatory domain, not a known PKA RI/RII D/D anchoring domain; hydrophobic face supports domain packing / dimerization, not PKA anchoring","PDE2A domains N-term 1-214, GAF-A 215-372, GAF-B 393-541, catalytic 579-941; homodimer (PNAS 2009, 0907635106)",PDB 3IBJ: GAF/catalytic domains joined by long alpha-helices; dimer interface spans the molecule,high-PSSM amphipathic non-AKAP regulatory/domain-packing helix; promoted via high-bg downgrade (pssm>=14 AND ml>=0.95),training_candidate+stress_test,very_high,verify_accession_region,CONFIRMED AKAPSpred v5.1 + ML v2 danger-zone FALSE POSITIVE (final tier=high). CLASSIFICATION: biologically supported non-AKAP contextual false positive (domain/function annotation); NOT experimentally proven non-binder — no direct PKA RI/RII binding assay exists. Burden of proof is on the AKAP-positive call.
PDE02,PDE_GAF_domain_dimerization_helix,"PDE3A (N-terminal region, 64-87)",Homo sapiens,Q14432,UniProt,,full_protein,64-87 (core LSFLLALLVRLV),membrane-associated / cytosol,cGMP-inhibited cyclic-nucleotide phosphodiesterase,lipid membrane / intramolecular (N-terminal hydrophobic region),membrane-association / domain context (NOT PKA D/D groove),hydrophobic N-terminal region scored by sensitive PSSM scan,PDE3A is a phosphodiesterase; window not a known PKA D/D anchoring helix,UniProt Q14432 phosphodiesterase,,below danger zone (pssm 7.64<12) — should be filtered,same_family_negative_control,medium,verify_region,"CORRECTLY REJECTED by v5.1+ML v2 (sensitive_only; pssm 7.64, ml 0.005, amphipathic=False). All three layers reject. Same-family negative control."
PDE03,PDE_GAF_domain_dimerization_helix,PDE4D (267-290),Homo sapiens,Q08499,UniProt,,full_protein,267-290 (core YQKLASETLEEL),cytosol / membrane (isoform-dependent),cAMP-specific cyclic-nucleotide phosphodiesterase,"recruited to AKAP/signalosome complexes (e.g. mAKAP, AKAP9) but not itself a PKA anchor",regulatory/UCR domain context (NOT PKA D/D groove),amphipathic window scored by sensitive PSSM scan,"PDE4D is a phosphodiesterase recruited BY AKAPs, not a PKA-anchoring AKAP itself",UniProt Q08499; PDE4D is a signalosome effector,,"borderline; rejected (pssm 11.04<12, ml 0.272)",same_family_negative_control,medium,verify_accession_region,"CORRECTLY REJECTED by v5.1+ML v2 (sensitive_only; pssm 11.04, ml 0.272). Same-family negative control. NB: PDE4D is recruited by AKAPs but is not an AKAP."
PDE04,PDE_GAF_domain_dimerization_helix,"PDE2A (302-325, negative-determinant control)",Homo sapiens,O00408,UniProt,,full_protein,302-325 (core LKDLTSEDVQQL); GAF-A domain ~215-372,cytosol / mitochondria-associated,cyclic-nucleotide phosphodiesterase regulatory (GAF-A) domain,GAF-A dimerization locus / intramolecular packing,regulatory-domain helix (NOT PKA D/D groove),amphipathic window in a GAF regulatory domain,phosphodiesterase GAF-A region; also carries a negative determinant on the face,"PDE2A GAF-A 215-372 (dimerization locus, PNAS 2002)",,rejected by negative-determinant red flag (n_negdet=1),same_protein_negative_determinant_control,medium,verify_region,"CORRECTLY REJECTED by v5.1+ML v2 (unlikely; biological red flag, n_negdet=1). Same-protein control showing the negative-determinant path firing."
