RII_PSSM_HIGH_THR,RI_PSSM_HIGH_THR,ML_HIGH_THR,ML_HIGH_BG_THR,HIGH_BG_PSSM_BONUS,random_high,shuffle_high,ddip_high,negdet_high,RII_high,RI_high,dual_high,RII_vhigh,fp_ok,tp_ok,neg_ok,all_ok
10.5,11.5,0.8,0.9,0.0,0.03244444444444444,0.02,0.02,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.8,0.9,1.0,0.024555555555555556,0.012,0.01,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.8,0.9,2.0,0.013,0.004,0.0033333333333333335,0.105,0.87,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.8,0.95,0.0,0.02022222222222222,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.8,0.95,1.0,0.018222222222222223,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.8,0.95,2.0,0.010555555555555556,0.0,0.0,0.095,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.8,0.97,0.0,0.013111111111111112,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,11.5,0.8,0.97,1.0,0.012666666666666666,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,11.5,0.8,0.97,2.0,0.008,0.0,0.0,0.09,0.85,1.0,0.94,0.18,True,True,False,False
10.5,11.5,0.8,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,11.5,0.8,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,11.5,0.8,0.99,2.0,0.004,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,11.5,0.85,0.9,0.0,0.03244444444444444,0.02,0.02,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.85,0.9,1.0,0.024555555555555556,0.012,0.01,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.85,0.9,2.0,0.013,0.004,0.0033333333333333335,0.105,0.87,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.85,0.95,0.0,0.02022222222222222,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.85,0.95,1.0,0.018222222222222223,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.85,0.95,2.0,0.010555555555555556,0.0,0.0,0.095,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.85,0.97,0.0,0.013111111111111112,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,11.5,0.85,0.97,1.0,0.012666666666666666,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,11.5,0.85,0.97,2.0,0.008,0.0,0.0,0.09,0.85,1.0,0.94,0.18,True,True,False,False
10.5,11.5,0.85,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,11.5,0.85,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,11.5,0.85,0.99,2.0,0.004,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,11.5,0.9,0.9,0.0,0.03244444444444444,0.02,0.02,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.9,0.9,1.0,0.024555555555555556,0.012,0.01,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.9,0.9,2.0,0.013,0.004,0.0033333333333333335,0.105,0.87,1.0,1.0,0.18,False,True,False,False
10.5,11.5,0.9,0.95,0.0,0.02022222222222222,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.9,0.95,1.0,0.018222222222222223,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.9,0.95,2.0,0.010555555555555556,0.0,0.0,0.095,0.86,1.0,0.98,0.18,False,True,False,False
10.5,11.5,0.9,0.97,0.0,0.013111111111111112,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,11.5,0.9,0.97,1.0,0.012666666666666666,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,11.5,0.9,0.97,2.0,0.008,0.0,0.0,0.09,0.85,1.0,0.94,0.18,True,True,False,False
10.5,11.5,0.9,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,11.5,0.9,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,11.5,0.9,0.99,2.0,0.004,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.8,0.9,0.0,0.03244444444444444,0.02,0.02,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.8,0.9,1.0,0.024555555555555556,0.012,0.01,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.8,0.9,2.0,0.013,0.004,0.0033333333333333335,0.105,0.87,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.8,0.95,0.0,0.02022222222222222,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.8,0.95,1.0,0.018222222222222223,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.8,0.95,2.0,0.010555555555555556,0.0,0.0,0.095,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.8,0.97,0.0,0.013111111111111112,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,12.0,0.8,0.97,1.0,0.012666666666666666,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,12.0,0.8,0.97,2.0,0.008,0.0,0.0,0.09,0.85,1.0,0.94,0.18,True,True,False,False
10.5,12.0,0.8,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.8,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.8,0.99,2.0,0.004,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.85,0.9,0.0,0.03244444444444444,0.02,0.02,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.85,0.9,1.0,0.024555555555555556,0.012,0.01,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.85,0.9,2.0,0.013,0.004,0.0033333333333333335,0.105,0.87,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.85,0.95,0.0,0.02022222222222222,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.85,0.95,1.0,0.018222222222222223,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.85,0.95,2.0,0.010555555555555556,0.0,0.0,0.095,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.85,0.97,0.0,0.013111111111111112,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,12.0,0.85,0.97,1.0,0.012666666666666666,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,12.0,0.85,0.97,2.0,0.008,0.0,0.0,0.09,0.85,1.0,0.94,0.18,True,True,False,False
10.5,12.0,0.85,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.85,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.85,0.99,2.0,0.004,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.9,0.9,0.0,0.03244444444444444,0.02,0.02,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.9,0.9,1.0,0.024555555555555556,0.012,0.01,0.11,0.89,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.9,0.9,2.0,0.013,0.004,0.0033333333333333335,0.105,0.87,1.0,1.0,0.18,False,True,False,False
10.5,12.0,0.9,0.95,0.0,0.02022222222222222,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.9,0.95,1.0,0.018222222222222223,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.9,0.95,2.0,0.010555555555555556,0.0,0.0,0.095,0.86,1.0,0.98,0.18,False,True,False,False
10.5,12.0,0.9,0.97,0.0,0.013111111111111112,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,12.0,0.9,0.97,1.0,0.012666666666666666,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
10.5,12.0,0.9,0.97,2.0,0.008,0.0,0.0,0.09,0.85,1.0,0.94,0.18,True,True,False,False
10.5,12.0,0.9,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.9,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
10.5,12.0,0.9,0.99,2.0,0.004,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.8,0.9,0.0,0.028888888888888888,0.02,0.016666666666666666,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,11.5,0.8,0.9,1.0,0.019444444444444445,0.008,0.0033333333333333335,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,11.5,0.8,0.9,2.0,0.009444444444444445,0.004,0.0033333333333333335,0.095,0.87,1.0,1.0,0.18,True,True,False,False
11.0,11.5,0.8,0.95,0.0,0.019555555555555555,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,11.5,0.8,0.95,1.0,0.015555555555555555,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,11.5,0.8,0.95,2.0,0.008,0.0,0.0,0.09,0.86,1.0,0.98,0.18,True,True,False,False
11.0,11.5,0.8,0.97,0.0,0.013,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,11.5,0.8,0.97,1.0,0.012,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,11.5,0.8,0.97,2.0,0.006888888888888889,0.0,0.0,0.085,0.85,1.0,0.94,0.18,True,True,False,False
11.0,11.5,0.8,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.8,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.8,0.99,2.0,0.003777777777777778,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.85,0.9,0.0,0.028888888888888888,0.02,0.016666666666666666,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,11.5,0.85,0.9,1.0,0.019444444444444445,0.008,0.0033333333333333335,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,11.5,0.85,0.9,2.0,0.009444444444444445,0.004,0.0033333333333333335,0.095,0.87,1.0,1.0,0.18,True,True,False,False
11.0,11.5,0.85,0.95,0.0,0.019555555555555555,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,11.5,0.85,0.95,1.0,0.015555555555555555,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,11.5,0.85,0.95,2.0,0.008,0.0,0.0,0.09,0.86,1.0,0.98,0.18,True,True,False,False
11.0,11.5,0.85,0.97,0.0,0.013,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,11.5,0.85,0.97,1.0,0.012,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,11.5,0.85,0.97,2.0,0.006888888888888889,0.0,0.0,0.085,0.85,1.0,0.94,0.18,True,True,False,False
11.0,11.5,0.85,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.85,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.85,0.99,2.0,0.003777777777777778,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.9,0.9,0.0,0.028888888888888888,0.02,0.016666666666666666,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,11.5,0.9,0.9,1.0,0.019444444444444445,0.008,0.0033333333333333335,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,11.5,0.9,0.9,2.0,0.009444444444444445,0.004,0.0033333333333333335,0.095,0.87,1.0,1.0,0.18,True,True,False,False
11.0,11.5,0.9,0.95,0.0,0.019555555555555555,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,11.5,0.9,0.95,1.0,0.015555555555555555,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,11.5,0.9,0.95,2.0,0.008,0.0,0.0,0.09,0.86,1.0,0.98,0.18,True,True,False,False
11.0,11.5,0.9,0.97,0.0,0.013,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,11.5,0.9,0.97,1.0,0.012,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,11.5,0.9,0.97,2.0,0.006888888888888889,0.0,0.0,0.085,0.85,1.0,0.94,0.18,True,True,False,False
11.0,11.5,0.9,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.9,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,11.5,0.9,0.99,2.0,0.003777777777777778,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,12.0,0.8,0.9,0.0,0.028888888888888888,0.02,0.016666666666666666,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,12.0,0.8,0.9,1.0,0.019444444444444445,0.008,0.0033333333333333335,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,12.0,0.8,0.9,2.0,0.009444444444444445,0.004,0.0033333333333333335,0.095,0.87,1.0,1.0,0.18,True,True,False,False
11.0,12.0,0.8,0.95,0.0,0.019555555555555555,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,12.0,0.8,0.95,1.0,0.015555555555555555,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,12.0,0.8,0.95,2.0,0.008,0.0,0.0,0.09,0.86,1.0,0.98,0.18,True,True,False,False
11.0,12.0,0.8,0.97,0.0,0.013,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,12.0,0.8,0.97,1.0,0.012,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,12.0,0.8,0.97,2.0,0.006888888888888889,0.0,0.0,0.085,0.85,1.0,0.94,0.18,True,True,False,False
11.0,12.0,0.8,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,12.0,0.8,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,12.0,0.8,0.99,2.0,0.003777777777777778,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,12.0,0.85,0.9,0.0,0.028888888888888888,0.02,0.016666666666666666,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,12.0,0.85,0.9,1.0,0.019444444444444445,0.008,0.0033333333333333335,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,12.0,0.85,0.9,2.0,0.009444444444444445,0.004,0.0033333333333333335,0.095,0.87,1.0,1.0,0.18,True,True,False,False
11.0,12.0,0.85,0.95,0.0,0.019555555555555555,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,12.0,0.85,0.95,1.0,0.015555555555555555,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,12.0,0.85,0.95,2.0,0.008,0.0,0.0,0.09,0.86,1.0,0.98,0.18,True,True,False,False
11.0,12.0,0.85,0.97,0.0,0.013,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,12.0,0.85,0.97,1.0,0.012,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,12.0,0.85,0.97,2.0,0.006888888888888889,0.0,0.0,0.085,0.85,1.0,0.94,0.18,True,True,False,False
11.0,12.0,0.85,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,12.0,0.85,0.99,1.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,12.0,0.85,0.99,2.0,0.003777777777777778,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
11.0,12.0,0.9,0.9,0.0,0.028888888888888888,0.02,0.016666666666666666,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,12.0,0.9,0.9,1.0,0.019444444444444445,0.008,0.0033333333333333335,0.11,0.89,1.0,1.0,0.18,False,True,False,False
11.0,12.0,0.9,0.9,2.0,0.009444444444444445,0.004,0.0033333333333333335,0.095,0.87,1.0,1.0,0.18,True,True,False,False
11.0,12.0,0.9,0.95,0.0,0.019555555555555555,0.004,0.0033333333333333335,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,12.0,0.9,0.95,1.0,0.015555555555555555,0.004,0.0,0.1,0.86,1.0,0.98,0.18,False,True,False,False
11.0,12.0,0.9,0.95,2.0,0.008,0.0,0.0,0.09,0.86,1.0,0.98,0.18,True,True,False,False
11.0,12.0,0.9,0.97,0.0,0.013,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,12.0,0.9,0.97,1.0,0.012,0.004,0.0,0.095,0.85,1.0,0.94,0.18,False,True,False,False
11.0,12.0,0.9,0.97,2.0,0.006888888888888889,0.0,0.0,0.085,0.85,1.0,0.94,0.18,True,True,False,False
11.0,12.0,0.9,0.99,0.0,0.004555555555555556,0.0,0.0,0.06,0.76,0.95,0.94,0.18,True,True,False,False
